"id","code","name","parent_id/id","smcus_laba_rugi","smcus_zhr_report","smcus_zhr_cash_flow/id"
"__export__.account_account_1","0","PT. Total Inpro Multitech",,"False","N/A",
"__export__.account_account_2","1","Balance Sheet","__export__.account_account_1","False","N/A",
"__export__.account_account_11","11","AKTIVA LANCAR","__export__.account_account_2","False","Neraca (Harta Lancar)",
"__export__.account_account_1101","1101","KAS & BANK","__export__.account_account_11","False","Neraca (Harta Lancar)",
"__export__.account_account_110101","110101","KAS KECIL KANTOR","__export__.account_account_1101","False","Neraca (Harta Lancar)","smcus_account_report_zhr.5"
"__export__.account_account_110102","110102","BANK CITIBANK (IDR)","__export__.account_account_1101","False","Neraca (Harta Lancar)","smcus_account_report_zhr.5"
"__export__.account_account_110103","110103","BANK CITIBANK (USD)","__export__.account_account_1101","False","Neraca (Harta Lancar)","smcus_account_report_zhr.5"
"__export__.account_account_110104","110104","CASH IDR","__export__.account_account_1101","False","Neraca (Harta Lancar)","smcus_account_report_zhr.5"
"__export__.account_account_110105","110105","BANK PERMATA (IDR)","__export__.account_account_1101","False","Neraca (Harta Lancar)","smcus_account_report_zhr.5"
"__export__.account_account_110107","110106","BANK PERMATA (USD )","__export__.account_account_1101","False","Neraca (Harta Lancar)","smcus_account_report_zhr.5"
"__export__.account_account_1347","110107","CASH USD","__export__.account_account_1101","False","Neraca (Harta Lancar)","smcus_account_report_zhr.5"
"__export__.account_account_1102","1102","PIUTANG DAGANG","__export__.account_account_11","False","Neraca (Harta Lancar)",
"__export__.account_account_110202","110201","PIUTANG DAGANG  BARANG LOKAL","__export__.account_account_1102","False","Neraca (Harta Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_110203","110202","PIUTANG DAGANG EXPORT","__export__.account_account_1102","False","Neraca (Harta Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_1103","1103","PIUTANG LAIN-LAIN","__export__.account_account_11","False","Neraca (Harta Lancar)",
"__export__.account_account_110301","110301","PIUTANG DIREKSI & STAFF","__export__.account_account_1103","False","Neraca (Harta Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_110302","110302","PIUTANG DIREKSI KANTOR","__export__.account_account_1103","False","Neraca (Harta Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_110303","110303","PIUTANG STAFF KANTOR","__export__.account_account_1103","False","Neraca (Harta Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_110304","110304","PIUTANG LAIN-LAIN","__export__.account_account_1103","False","Neraca (Harta Lancar)","smcus_account_report_zhr.6"
"__export__.account_account_1104","1104","PERSEDIAAN","__export__.account_account_11","False","Neraca (Harta Lancar)",
"__export__.account_account_110401","110401","PERSEDIAAN IT","__export__.account_account_1104","False","Neraca (Harta Lancar)","smcus_account_report_zhr.7"
"__export__.account_account_110402","110402","PERSEDIAAN SOFTWARE","__export__.account_account_1104","False","Neraca (Harta Lancar)","smcus_account_report_zhr.7"
"__export__.account_account_110403","110403","PERSEDIAAN LAIN-LAIN","__export__.account_account_1104","False","Neraca (Harta Lancar)","smcus_account_report_zhr.7"
"__export__.account_account_1306","110404","PERSEDIAAN ELEKTRIKAL","__export__.account_account_1104","False","Neraca (Harta Lancar)","smcus_account_report_zhr.7"
"__export__.account_account_1314","110405","PERSEDIAAN AUTOMATION","__export__.account_account_1104","False","Neraca (Harta Lancar)","smcus_account_report_zhr.7"
"__export__.account_account_1105","1105","UANG MUKA PEMBELIAN","__export__.account_account_11","False","Neraca (Harta Lancar)",
"__export__.account_account_110501","110501","UANG MUKA PEMBELIAN LOKAL","__export__.account_account_1105","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_110502","110502","UANG MUKA PEMBELIAN IMPOR","__export__.account_account_1105","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_1319","110503","UANG MUKA PEMBELIAN JASA","__export__.account_account_1105","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_1107","1107","PAJAK DIBAYAR DIMUKA","__export__.account_account_11","False","Neraca (Harta Lancar)",
"__export__.account_account_110701","110701","PPN MASUKAN","__export__.account_account_1107","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_110702","110702","PIUTANG PPn MASUKAN","__export__.account_account_1107","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_110703","110703","PPh PASAL 21","__export__.account_account_1107","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
"__export__.account_account_110705","110705","PPh PASAL 23","__export__.account_account_1107","False","Neraca (Harta Lancar)","smcus_account_report_zhr.8"
