"id","city_id:id","name","code"
kec_id_3511050,kab_id_3511,"TLOGOSARI","3511050"
kec_id_3511040,kab_id_3511,"PUJER","3511040"
kec_id_5301050,kab_id_5301,"LOLI","5301050"
kec_id_5301060,kab_id_5301,"KOTA WAIKABUBAK","5301060"
kec_id_5305070,kab_id_5305,"NEOMUTI","5305070"
kec_id_3525030,kab_id_3525,"KEDAMEAN","3525030"
kec_id_3525010,kab_id_3525,"WRINGIN ANOM","3525010"
kec_id_6106220,kab_id_6106,"HULU SUNGAI","6106220"
kec_id_5206160,kab_id_5206,"PARADO","5206160"
kec_id_6106240,kab_id_6106,"SINGKUP","6106240"
kec_id_5272040,kab_id_5272,"RABA","5272040"
kec_id_3524070,kab_id_3524,"SUGIO","3524070"
kec_id_3529020,kab_id_3529,"BLUTO","3529020"
kec_id_6108040,kab_id_6108,"BUNUT HULU","6108040"
kec_id_6107140,kab_id_6107,"SINTANG","6107140"
kec_id_5304040,kab_id_5304,"AMANUBAN BARAT","5304040"
kec_id_3526030,kab_id_3526,"KWANYAR","3526030"
kec_id_3525050,kab_id_3525,"CERME","3525050"
kec_id_5272030,kab_id_5272,"ASAKOTA","5272030"
kec_id_3315010,kab_id_3315,"KEDUNGJATI","3315010"
kec_id_6308040,kab_id_6308,"AMUNTAI SELATAN","6308040"
kec_id_1808220,kab_id_1808,"RAWAJITU TIMUR","1808220"
kec_id_3529010,kab_id_3529,"PRAGAAN","3529010"
kec_id_3525040,kab_id_3525,"MENGANTI","3525040"
kec_id_3319030,kab_id_3319,"JATI","3319030"
kec_id_5304030,kab_id_5304,"KOTA SOE","5304030"
kec_id_5206150,kab_id_5206,"SOROMANDI","5206150"
kec_id_6106180,kab_id_6106,"MUARA PAWAN","6106180"
kec_id_3327060,kab_id_3327,"BANTARBOLANG","3327060"
kec_id_3314180,kab_id_3314,"GESI","3314180"
kec_id_6107150,kab_id_6107,"DEDAI","6107150"
kec_id_3311090,kab_id_3311,"GROGOL","3311090"
kec_id_3315050,kab_id_3315,"GEYER","3315050"
kec_id_3524040,kab_id_3524,"SAMBENG","3524040"
kec_id_3528110,kab_id_3528,"WARU","3528110"
kec_id_5302130,kab_id_5302,"MATAWAI LA PAU","5302130"
kec_id_6106230,kab_id_6106,"AIR UPAS","6106230"
kec_id_3316120,kab_id_3316,"TUNJUNGAN","3316120"
kec_id_3524110,kab_id_3524,"PUCUK","3524110"
kec_id_6106280,kab_id_6106,"TUMBANG TITI","6106280"
kec_id_5317040,kab_id_5317,"UMBU RATU NGGAY BARAT","5317040"
kec_id_3513040,kab_id_3513,"BANTARAN","3513040"
kec_id_6107160,kab_id_6107,"KAYAN HILIR","6107160"
kec_id_5303170,kab_id_5303,"TAKARI","5303170"
kec_id_3319020,kab_id_3319,"KOTA KUDUS","3319020"
kec_id_6106200,kab_id_6106,"SIMPANG DUA","6106200"
kec_id_7410050,kab_id_7410,"BONENUGU","7410050"
kec_id_6107180,kab_id_6107,"BINJAI HULU","6107180"
kec_id_3528130,kab_id_3528,"PASEAN","3528130"
kec_id_5206180,kab_id_5206,"PALIBELO","5206180"
kec_id_3512170,kab_id_3512,"BANYUPUTIH","3512170"
kec_id_3319040,kab_id_3319,"UNDAAN","3319040"
kec_id_3508150,kab_id_3508,"PASRUJAMBE","3508150"
kec_id_3318170,kab_id_3318,"MARGOYOSO","3318170"
kec_id_6108020,kab_id_6108,"SILAT HULU","6108020"
kec_id_3310040,kab_id_3310,"BAYAT","3310040"
kec_id_3524060,kab_id_3524,"KAMBANG BAHU","3524060"
kec_id_5272050,kab_id_5272,"MPUNDA","5272050"
kec_id_6106260,kab_id_6106,"SUNGAI MELAYU RAYAK","6106260"
kec_id_5105020,kab_id_5105,"BANJARANGKAN","5105020"
kec_id_3319070,kab_id_3319,"BAE","3319070"
kec_id_6301090,kab_id_6301,"KINTAP","6301090"
kec_id_3310050,kab_id_3310,"CAWAS","3310050"
kec_id_5318030,kab_id_5318,"LAURA","5318030"
kec_id_6105210,kab_id_6105,"SEKAYAN","6105210"
kec_id_5106010,kab_id_5106,"SUSUT","5106010"
kec_id_6107110,kab_id_6107,"SEPAUK","6107110"
kec_id_6106250,kab_id_6106,"PEMAHAN","6106250"
kec_id_3315020,kab_id_3315,"KARANGRAYUNG","3315020"
kec_id_3529110,kab_id_3529,"PASONGSONGAN","3529110"
kec_id_5303190,kab_id_5303,"AMFOANG UTARA","5303190"
kec_id_6107170,kab_id_6107,"KELAM PERMAI","6107170"
kec_id_3275050,kab_id_3275,"BEKASI SELATAN","3275050"
kec_id_3312210,kab_id_3312,"SLOGOHIMO","3312210"
kec_id_3327050,kab_id_3327,"BODEH","3327050"
kec_id_3513010,kab_id_3513,"SUKAPURA","3513010"
kec_id_3517010,kab_id_3517,"BANDAR KEDUNG MULYO","3517010"
kec_id_6307070,kab_id_6307,"LABUAN AMAS UTARA","6307070"
kec_id_6406100,kab_id_6406,"KAYAN SELATAN","6406100"
kec_id_3518120,kab_id_3518,"GONDANG","3518120"
kec_id_6108050,kab_id_6108,"MENTEBAH","6108050"
kec_id_6108030,kab_id_6108,"HULU GURUNG","6108030"
kec_id_3512150,kab_id_3512,"JANGKAR","3512150"
kec_id_5305160,kab_id_5305,"BIKOMI NILULAT","5305160"
kec_id_7373020,kab_id_7373,"WARA","7373020"
kec_id_3273230,kab_id_3273,"COBLONG","3273230"
kec_id_3311070,kab_id_3311,"POLOKARTO","3311070"
kec_id_6105190,kab_id_6105,"BEDUWAI","6105190"
kec_id_3527010,kab_id_3527,"SRESEH","3527010"
kec_id_3310020,kab_id_3310,"GANTIWARNO","3310020"
kec_id_5206170,kab_id_5206,"LAMBITU","5206170"
kec_id_3508080,kab_id_3508,"KUNIR","3508080"
kec_id_3525020,kab_id_3525,"DRIYOREJO","3525020"
kec_id_7304070,kab_id_7304,"BONTORAMBA","7304070"
kec_id_3315130,kab_id_3315,"PURWODADI","3315130"
kec_id_3273250,kab_id_3273,"SUKASARI","3273250"
kec_id_6107190,kab_id_6107,"KETUNGAU HILIR","6107190"
kec_id_5303210,kab_id_5303,"NEKEMESE","5303210"
kec_id_3315140,kab_id_3315,"BRATI","3315140"
kec_id_3507040,kab_id_3507,"BANTUR","3507040"
kec_id_3275110,kab_id_3275,"MUSTIKA JAYA","3275110"
kec_id_3310030,kab_id_3310,"WEDI","3310030"
kec_id_3273220,kab_id_3273,"CIBEUNYING KALER","3273220"
kec_id_3312020,kab_id_3312,"PARANGGUPITO","3312020"
kec_id_3526110,kab_id_3526,"BANGKALAN","3526110"
kec_id_3513050,kab_id_3513,"LECES","3513050"
kec_id_3311030,kab_id_3311,"TAWANGSARI","3311030"
kec_id_3327020,kab_id_3327,"PULOSARI","3327020"
kec_id_5203050,kab_id_5203,"MASBAGIK","5203050"
kec_id_3316150,kab_id_3316,"KUNDURAN","3316150"
kec_id_3314160,kab_id_3314,"MONDOKAN","3314160"
kec_id_3526160,kab_id_3526,"TANJUNGBUMI","3526160"
kec_id_5302120,kab_id_5302,"KAHAUNGU ETI","5302120"
kec_id_3526150,kab_id_3526,"KOKOP","3526150"
kec_id_3516130,kab_id_3516,"SOOKO","3516130"
kec_id_6171030,kab_id_6171,"PONTIANAK BARAT","6171030"
kec_id_3275020,kab_id_3275,"JATIASIH","3275020"
kec_id_6106210,kab_id_6106,"BENUA KAYONG","6106210"
kec_id_3318190,kab_id_3318,"CLUWAK","3318190"
kec_id_3275010,kab_id_3275,"PONDOKGEDE","3275010"
kec_id_3217040,kab_id_3217,"CIPONGKOR","3217040"
kec_id_3311050,kab_id_3311,"NGUTER","3311050"
kec_id_6107200,kab_id_6107,"KETUNGAU TENGAH","6107200"
kec_id_6107230,kab_id_6107,"AMBALAU","6107230"
kec_id_3319080,kab_id_3319,"GEBOG","3319080"
kec_id_6107080,kab_id_6107,"KAYAN HULU","6107080"
kec_id_3326170,kab_id_3326,"SIWALAN","3326170"
kec_id_3272030,kab_id_3272,"WARUDOYONG","3272030"
kec_id_7373030,kab_id_7373,"TELLUWANUA","7373030"
kec_id_3314170,kab_id_3314,"SUKODONO","3314170"
kec_id_3326160,kab_id_3326,"WIRADESA","3326160"
kec_id_3312100,kab_id_3312,"EROMOKO","3312100"
kec_id_3529120,kab_id_3529,"AMBUNTEN","3529120"
kec_id_3315090,kab_id_3315,"NGARINGAN","3315090"
kec_id_6307050,kab_id_6307,"BARABAI","6307050"
kec_id_5312010,kab_id_5312,"AIMERE","5312010"
kec_id_3273290,kab_id_3273,"MANDALAJATI","3273290"
kec_id_3312200,kab_id_3312,"BULUKERTO","3312200"
kec_id_6106110,kab_id_6106,"SUNGAI LAUR","6106110"
kec_id_6106010,kab_id_6106,"KENDAWANGAN","6106010"
kec_id_6308020,kab_id_6308,"BABIRIK","6308020"
kec_id_3523180,kab_id_3523,"JATIROGO","3523180"
kec_id_3525160,kab_id_3525,"UJUNG PANGKAH","3525160"
kec_id_3523190,kab_id_3523,"BANCAR","3523190"
kec_id_5303110,kab_id_5303,"KUPANG BARAT","5303110"
kec_id_3523140,kab_id_3523,"JENU","3523140"
kec_id_6107210,kab_id_6107,"KETUNGAU HULU","6107210"
kec_id_3275060,kab_id_3275,"BEKASI BARAT","3275060"
kec_id_3217120,kab_id_3217,"CIPEUNDEUY","3217120"
kec_id_8271010,kab_id_8271,"PULAU TERNATE","8271010"
kec_id_7471010,kab_id_7471,"MANDONGA","7471010"
kec_id_3524260,kab_id_3524,"BRONDONG","3524260"
kec_id_3274030,kab_id_3274,"PEKALIPAN","3274030"
kec_id_6107130,kab_id_6107,"SUNGAI TEBELIAN","6107130"
kec_id_6106270,kab_id_6106,"MARAU","6106270"
kec_id_3327010,kab_id_3327,"MOGA","3327010"
kec_id_6307090,kab_id_6307,"BATANG ALAI UTARA","6307090"
kec_id_3512160,kab_id_3512,"ASEMBAGUS","3512160"
kec_id_3526180,kab_id_3526,"KLAMPIS","3526180"
kec_id_3316110,kab_id_3316,"BANJAREJO","3316110"
kec_id_3275090,kab_id_3275,"MEDAN SATRIA","3275090"
kec_id_6105200,kab_id_6105,"NOYAN","6105200"
kec_id_5204170,kab_id_5204,"LABANGKA","5204170"
kec_id_3510050,kab_id_3510,"MUNCAR","3510050"
kec_id_3577020,kab_id_3577,"TAMAN","3577020"
kec_id_6107120,kab_id_6107,"TEMPUNAK","6107120"
kec_id_5302020,kab_id_5302,"TABUNDUNG","5302020"
kec_id_3318160,kab_id_3318,"TRANGKIL","3318160"
kec_id_7406050,kab_id_7406,"RUMBIA","7406050"
kec_id_3217060,kab_id_3217,"LEMBANG","3217060"
kec_id_3316140,kab_id_3316,"NGAWEN","3316140"
kec_id_3275040,kab_id_3275,"BEKASI TIMUR","3275040"
kec_id_3374150,kab_id_3374,"TUGU","3374150"
kec_id_5108030,kab_id_5108,"BUSUNGBIU","5108030"
kec_id_3314150,kab_id_3314,"SUMBERLAWANG","3314150"
kec_id_3529050,kab_id_3529,"TALANGO","3529050"
kec_id_3320010,kab_id_3320,"KEDUNG","3320010"
kec_id_3508170,kab_id_3508,"GUCIALIT","3508170"
kec_id_3315030,kab_id_3315,"PENAWANGAN","3315030"
kec_id_3314190,kab_id_3314,"TANGEN","3314190"
kec_id_3509260,kab_id_3509,"SUMBERJAMBE","3509260"
