id,code,name,profit_centre,doc_code,branch_type,ahm_code,street,rt,rw,kelurahan,kecamatan,city_id:id,state_id:id,zip_code_id:id,phone,mobile,fax,email,npwp,no_pkp,tgl_kukuh
branch_dsr,DSR,Cabang Riau,15537,DSR,DL,10285,Jl.Hang Tuah Ujung No.118 A-C Rejosari ,,,,,wtc_address.kab_id_1471,wtc_address.province_id_1400,,6281993111958,,,,01.239.424.3-211.001,01.239.424.3-211.001,1989-04-26
branch_djj,DJJ,Cabang Jambi,15548,DJJ,DL,12598,Jl.Kapten Pattimura No.6-7 RT.004 Kenali Besar Kota Baru,,,,,wtc_address.kab_id_1571,wtc_address.province_id_1500,,62819694099,,,,01.239.424.3-331.001,01.239.424.3-331.001,1989-04-26
branch_djb,DJB,Cabang Bangko,15545,DJB,DL,12144,Jl.Jend.Sudirman Km.03 Pematang Kandis Bangko,,,,,wtc_address.kab_id_1571,wtc_address.province_id_1500,,6281930416577,,,,01.239.424.3-333.001,01.239.424.3-333.001,1989-04-26
branch_djs,DJS,Cabang Muara Sabak,15576,DJS,DL,13381,Jl. Imam Bonjol RT.01 Talang Babat Muara Sabak Tanjung Jabung Timur,,,,,wtc_address.kab_id_1506,wtc_address.province_id_1500,,,,,,01.239.424.3-334.001,01.239.424.3-334.001,1989-04-26
branch_djm,DJM,Cabang Merlung,15582,DJM,DL,TA,Jl. Lingkar Timur Pelabuhan Dagang Tanjung Jabung Barat,,,,,wtc_address.kab_id_1507,wtc_address.province_id_1500,,6187877579000,,,,01.239.424.3-334.002,01.239.424.3-334.002,1989-04-26
branch_dju,DJU,Cabang Muarabungo,15602,DJU,DL,TA,Jl Batang Hari No Rt 036 Rw 004 Kel Puwosari,,,,,,wtc_address.province_id_1500,,,,,,01.239.424.3-332.01,01.239.424.3-332.01,
branch_dsm,DSM,Cabang Martapura,15573,DSM,DL,TA,Jl. Lintas Sumatra No.20 Kota Batu Kec.Martapura Ogan Komering,,,,,,wtc_address.province_id_1600,,,,,,01.239.424.3-302.001,01.239.424.3-302.001,1989-04-26
branch_dsg,DSG,Cabang Gelumbang,15578,DSG,DL,TA,Jl. Lintas LK.2 RT.006 RW.02 Muara Enim Sumatera Selatan,,,,,,wtc_address.province_id_1600,,,,,,01.239.424.3-313.001,01.239.424.3-313.001,1989-04-26
branch_dsb,DSB,Cabang Pangkalan Balai,15520,DSB,DL,7804,Jl.Merdeka No 06 RT.39 RW.17 Pangkalan Balai Banyuasin,,,,,,wtc_address.province_id_1600,,628197816594,,,,01.239.424.3-314.001,01.239.424.3-314.001,1989-04-26
branch_dsp,DSP,Cabang Palembang,15515,DSP,DL,7327,Jl.Sultan M.Badaruddin II Km.12 No.33 Alang-alang Kebon Sukarame,,,,,wtc_address.kab_id_1671,wtc_address.province_id_1600,,6287897768688,,,,01.239.424.3-307.001,01.239.424.3-307.001,1989-04-26
branch_dsk,DSK,Cabang Kayu Agung,15560,DSK,DL,TA,Jl. Letnan Muchtar Saleh Celikah Kayu Agung Ogan Komering,,,,,wtc_address.kab_id_1671,wtc_address.province_id_1600,,,,,,01.239.424.3-312.001,01.239.424.3-312.001,1989-04-26
branch_dup,DUP,Cabang Putri Hijau,15532,DUP,DL,9690,Jl.Raya Kota Bani Putri Hijau,,,,,,wtc_address.province_id_1700,,628193053066,,,,01.239.424.3-328.002,01.239.424.3-328.002,1989-04-26
branch_duk,DUK,Cabang Kepahyang,15531,DUK,DL,9331,Jl.Santoso No.42 Kel.Pensiunan Kec.Kepahiang Rejong Lebong,,,,,,wtc_address.province_id_1700,,6281930535797,,,,01.239.424.3-327.001,01.239.424.3-327.001,1989-04-26
branch_dle,DLE,Cabang Way Sekampung,15566,DLE,DL,9668,Desa Pasar Sekampung Sumber Gede ,,,,,,wtc_address.province_id_1800,,,,,,01.239.424.3-321.004,01.239.424.3-321.004,1989-04-26
branch_dlp,DLP,Cabang Pahoman,15579,DLP,DL,297,Jl.Gatot Subroto No.45 Pahoman Tanjung Karang Timur,,,,,,wtc_address.province_id_1800,,0721-261088,,,,01.239.424.3-322.000,01.239.424.3-322.000,1989-04-26
branch_dlm,DLM,Cabang Simpang Pematang,15561,DLM,DL,11092,Jl.Abdul Rahman Sarbini Simpang Pematang Simpang Pematang Mesuji,,,,,,wtc_address.province_id_1800,,,,,,01.239.424.3-326.008,01.239.424.3-326.008,1989-04-26
branch_dlh,DLH,Cabang Seputih Mataram,15567,DLH,DL,TA,Dusun IV RT.013 RW.004 Kurnia Mataram Seputih Mataram,,,,,,wtc_address.province_id_1800,,,,,,01.239.424.3-321.003,01.239.424.3-321.003,1989-04-26
branch_dlx,DLX,Cabang Kalianda,15580,DLX,DL,TA,Jl. Lintas Sumatra Desa Kedaton Kec. Kalianda,,,,,,wtc_address.province_id_1800,,,,,,01.239.424.3-325.006,01.239.424.3-325.006,1989-04-26
branch_dll,DLL,Cabang Kemiling,15553,DLL,DL,TA,Jl. Imam Bonjol Sumberejo Kec. Kemiling,,,,,,wtc_address.province_id_1800,,,,,,01.239.424.3-322.001,01.239.424.3-322.001,1989-04-26
