id,name,default_code,categ_id:id,description,type,cost_method,valuation,uom_id,uom_po_id,sale_ok,purchase_ok,active
product_extras_tools_TSUPRA_125,TSUPRA 125,TSUPRA 125,product_extras_tools,TSUPRA 125,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TREVO,TREVO,TREVO,product_extras_tools,TREVO,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TVARIO,TVARIO,TVARIO,product_extras_tools,TVARIO,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TBEAT,TBEAT,TBEAT,product_extras_tools,TBEAT,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TTIGER,TTIGER,TTIGER,product_extras_tools,TTIGER,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TMEGA_PRO,TMEGA PRO,TMEGA PRO,product_extras_tools,TMEGA PRO,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TCBR_250,TCBR 250,TCBR 250,product_extras_tools,TCBR 250,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TCBR_150,TCBR 150,TCBR 150,product_extras_tools,TCBR 150,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TSPACY,TSPACY,TSPACY,product_extras_tools,TSPACY,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TSUPRA_HELM_IN,TSUPRA HELM IN,TSUPRA HELM IN,product_extras_tools,TSUPRA HELM IN,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TOOL_PCX,TOOL-PCX,TOOL-PCX,product_extras_tools,TOOL-PCX,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
product_extras_tools_TCB150R,TCB150R,TCB150R,product_extras_tools,TCB150R,product,standard,real_time,product.product_uom_unit,product.product_uom_unit,False,False,True
