id,barang_extras_id:id,product_id:id,quantity
extras_temp_CR1_tools_TREVO,temp_CR1,product_extras_tools_TREVO,1
extras_temp_CT0_tools_TVARIO,temp_CT0,product_extras_tools_TVARIO,1
extras_temp_CY0_tools_TREVO,temp_CY0,product_extras_tools_TREVO,1
extras_temp_FE1_tools_TVARIO,temp_FE1,product_extras_tools_TVARIO,1
extras_temp_FK0_tools_TSPACY,temp_FK0,product_extras_tools_TSPACY,1
extras_temp_FL0_tools_TSUPRA_HELM_IN,temp_FL0,product_extras_tools_TSUPRA_HELM_IN,1
extras_temp_DT0_tools_TOOL_PCX,temp_DT0,product_extras_tools_TOOL_PCX,1
extras_temp_FV0_tools_TBEAT,temp_FV0,product_extras_tools_TBEAT,1
extras_temp_FW0_tools_TBEAT,temp_FW0,product_extras_tools_TBEAT,1
extras_temp_FX0_tools_TBEAT,temp_FX0,product_extras_tools_TBEAT,1
extras_temp_DK0_tools_TCB150R,temp_DK0,product_extras_tools_TCB150R,1
extras_temp_FZ0_tools_TREVO,temp_FZ0,product_extras_tools_TREVO,1
extras_temp_DN0_tools_TVERZA,temp_DN0,product_extras_tools_TVERZA,1
extras_temp_DM0_tools_TVERZA,temp_DM0,product_extras_tools_TVERZA,1
extras_temp_FNA_tools_TBEAT,temp_FNA,product_extras_tools_TBEAT,1
extras_temp_GK0_tools_TVARIO,temp_GK0,product_extras_tools_TVARIO,1
extras_temp_GB0_tools_TREVO_F1,temp_GB0,product_extras_tools_TREVO_F1,1
extras_temp_GC0_tools_TREVO_F1,temp_GC0,product_extras_tools_TREVO_F1,1
extras_temp_GD0_tools_TREVO_F1,temp_GD0,product_extras_tools_TREVO_F1,1
extras_temp_DL0_tools_TMEGA PRO,temp_DL0,product_extras_tools_TMEGA_PRO,1
extras_temp_GE0_tools_TSUPRA_125_F1,temp_GE0,product_extras_tools_TSUPRA_125_F1,1
extras_temp_GF0_tools_TSUPRA_125_F1,temp_GF0,product_extras_tools_TSUPRA_125_F1,1
extras_temp_GG0_tools_TREVO_F1,temp_GG0,product_extras_tools_TREVO_F1,1
extras_temp_GH0_tools_TREVO_F1,temp_GH0,product_extras_tools_TREVO_F1,1
extras_temp_GHA_tools_TREVO_F1,temp_GHA,product_extras_tools_TREVO_F1,1
extras_temp_GL0_tools_TVARIO,temp_GL0,product_extras_tools_TVARIO,1
extras_temp_GJ0_tools_TVARIO,temp_GJ0,product_extras_tools_TVARIO,1
extras_temp_GM0_tools_TBEAT,temp_GM0,product_extras_tools_TBEAT,1
extras_temp_GP0_tools_TBEAT,temp_GP0,product_extras_tools_TBEAT,1
extras_temp_GN0_tools_TBEAT,temp_GN0,product_extras_tools_TBEAT,1
extras_temp_GRA_tools_TBEAT,temp_GRA,product_extras_tools_TBEAT,1
extras_temp_DPA_tools_TCBR 150,temp_DPA,product_extras_tools_TCBR_150,1
extras_temp_GS0_tools_TBEAT,temp_GS0,product_extras_tools_TBEAT,1
extras_temp_GV0_tools_TBEAT,temp_GV0,product_extras_tools_TBEAT,1
extras_temp_GW0_tools_TBEAT,temp_GW0,product_extras_tools_TBEAT,1
extras_temp_GX0_tools_TBEAT,temp_GX0,product_extras_tools_TBEAT,1
extras_temp_GY0_tools_TBEAT,temp_GY0,product_extras_tools_TBEAT,1
extras_temp_GT0_tools_TBEAT,temp_GT0,product_extras_tools_TBEAT,1
extras_temp_GZA_tools_TVARIO,temp_GZA,product_extras_tools_TVARIO,1
extras_temp_HA0_tools_TVARIO,temp_HA0,product_extras_tools_TVARIO,1
extras_temp_HB0_tools_TVARIO,temp_HB0,product_extras_tools_TVARIO,1
extras_temp_CY0_tools_TREVO,temp_CY0,product_extras_tools_TREVO,1
extras_temp_DE0_tools_TMEGA PRO,temp_DE0,product_extras_tools_TMEGA_PRO,1
extras_temp_DF0_tools_TMEGA PRO,temp_DF0,product_extras_tools_TMEGA_PRO,1
extras_temp_DRB_tools_TCBR 250,temp_DRB,product_extras_tools_TCBR_250,1
extras_temp_DPA_tools_TCBR 150,temp_DPA,product_extras_tools_TCBR_150,1
extras_temp_DP0_tools_TCBR 150,temp_DP0,product_extras_tools_TCBR_150,1
extras_temp_DPB_tools_TCBR 150,temp_DPB,product_extras_tools_TCBR_150,1
extras_temp_FE1_tools_TVARIO,temp_FE1,product_extras_tools_TVARIO,1
extras_temp_FK0_tools_TSPACY,temp_FK0,product_extras_tools_TSPACY,1
extras_temp_FL0_tools_TSUPRA_HELM_IN,temp_FL0,product_extras_tools_TSUPRA_HELM_IN,1
extras_temp_FM3_tools_TSUPRA_HELM_IN,temp_FM3,product_extras_tools_TSUPRA_HELM_IN,1
extras_temp_FR2_tools_TSPACY,temp_FR2,product_extras_tools_TSPACY,1
extras_temp_DT0_tools_TOOL_PCX,temp_DT0,product_extras_tools_TOOL_PCX,1
extras_temp_FV0_tools_TBEAT,temp_FV0,product_extras_tools_TBEAT,1
extras_temp_FW0_tools_TBEAT,temp_FW0,product_extras_tools_TBEAT,1
extras_temp_FX0_tools_TBEAT,temp_FX0,product_extras_tools_TBEAT,1
extras_temp_DK1_tools_TCB150R,temp_DK1,product_extras_tools_TCB150R,1
extras_temp_DK2_tools_TCB150R,temp_DK2,product_extras_tools_TCB150R,1
extras_temp_DK0_tools_TCB150R,temp_DK0,product_extras_tools_TCB150R,1
extras_temp_FZ0_tools_TREVO,temp_FZ0,product_extras_tools_TREVO,1
extras_temp_DN1_tools_TVERZA,temp_DN1,product_extras_tools_TVERZA,1
extras_temp_DM1_tools_TVERZA,temp_DM1,product_extras_tools_TVERZA,1
extras_temp_FNA_tools_TBEAT,temp_FNA,product_extras_tools_TBEAT,1
extras_temp_GK0_tools_TVARIO,temp_GK0,product_extras_tools_TVARIO,1
extras_temp_GB0_tools_TREVO_F1,temp_GB0,product_extras_tools_TREVO_F1,1
extras_temp_GC0_tools_TREVO_F1,temp_GC0,product_extras_tools_TREVO_F1,1
extras_temp_GD0_tools_TREVO_F1,temp_GD0,product_extras_tools_TREVO_F1,1
extras_temp_DL0_tools_TMEGA PRO,temp_DL0,product_extras_tools_TMEGA_PRO,1
extras_temp_GE0_tools_TSUPRA_125_F1,temp_GE0,product_extras_tools_TSUPRA_125_F1,1
extras_temp_GF0_tools_TSUPRA_125_F1,temp_GF0,product_extras_tools_TSUPRA_125_F1,1
extras_temp_GG0_tools_TREVO_F1,temp_GG0,product_extras_tools_TREVO_F1,1
extras_temp_GH0_tools_TREVO_F1,temp_GH0,product_extras_tools_TREVO_F1,1
extras_temp_GHA_tools_TREVO_F1,temp_GHA,product_extras_tools_TREVO_F1,1
extras_temp_GL0_tools_TVARIO,temp_GL0,product_extras_tools_TVARIO,1
extras_temp_GJ0_tools_TVARIO,temp_GJ0,product_extras_tools_TVARIO,1
extras_temp_GM0_tools_TBEAT,temp_GM0,product_extras_tools_TBEAT,1
extras_temp_GP0_tools_TBEAT,temp_GP0,product_extras_tools_TBEAT,1
extras_temp_GN0_tools_TBEAT,temp_GN0,product_extras_tools_TBEAT,1
extras_temp_GR0_tools_TBEAT,temp_GR0,product_extras_tools_TBEAT,1
extras_temp_GRA_tools_TBEAT,temp_GRA,product_extras_tools_TBEAT,1
extras_temp_GS0_tools_TBEAT,temp_GS0,product_extras_tools_TBEAT,1
extras_temp_GV0_tools_TBEAT,temp_GV0,product_extras_tools_TBEAT,1
extras_temp_GW0_tools_TBEAT,temp_GW0,product_extras_tools_TBEAT,1
extras_temp_GX0_tools_TBEAT,temp_GX0,product_extras_tools_TBEAT,1
extras_temp_GY0_tools_TBEAT,temp_GY0,product_extras_tools_TBEAT,1
extras_temp_GT0_tools_TBEAT,temp_GT0,product_extras_tools_TBEAT,1
extras_temp_GZ0_tools_TVARIO,temp_GZ0,product_extras_tools_TVARIO,1
extras_temp_GZA_tools_TVARIO,temp_GZA,product_extras_tools_TVARIO,1
extras_temp_HA0_tools_TVARIO,temp_HA0,product_extras_tools_TVARIO,1
extras_temp_HB0_tools_TVARIO,temp_HB0,product_extras_tools_TVARIO,1
extras_temp_CR1_spion_SNF110_SP,temp_CR1,product_extras_spion_SNF110_SP,1
extras_temp_CT0_spion_SNC110,temp_CT0,product_extras_spion_SNC110,1
extras_temp_CY0_spion_SNF110_SP,temp_CY0,product_extras_spion_SNF110_SP,1
extras_temp_FE1_spion_SNC110,temp_FE1,product_extras_spion_SNC110,1
extras_temp_FK0_spion_SKZLG,temp_FK0,product_extras_spion_SKZLG,1
extras_temp_FL0_spion_SNF_100_T,temp_FL0,product_extras_spion_SNF_100_T,1
extras_temp_DT0_spion_BKMR_PCX,temp_DT0,product_extras_spion_BKMR_PCX,1
extras_temp_FV0_spion_SK25A,temp_FV0,product_extras_spion_SK25A,1
extras_temp_FW0_spion_SK25A,temp_FW0,product_extras_spion_SK25A,1
extras_temp_FX0_spion_SK25A,temp_FX0,product_extras_spion_SK25A,1
extras_temp_DK0_spion_SGLS,temp_DK0,product_extras_spion_SGLS,1
extras_temp_FZ0_spion_SNF110_SP,temp_FZ0,product_extras_spion_SNF110_SP,1
extras_temp_DN0_spion_SK18A,temp_DN0,product_extras_spion_SK18A,1
extras_temp_DM0_spion_SK18A,temp_DM0,product_extras_spion_SK18A,1
extras_temp_FNA_spion_SK16G,temp_FNA,product_extras_spion_SK16G,1
extras_temp_GK0_spion_SKZRA,temp_GK0,product_extras_spion_SKZRA,1
extras_temp_GB0_spion_SK03S,temp_GB0,product_extras_spion_SK03S,1
extras_temp_GC0_spion_SK03S,temp_GC0,product_extras_spion_SK03S,1
extras_temp_GD0_spion_SK03S,temp_GD0,product_extras_spion_SK03S,1
extras_temp_DL0_spion_SGLS,temp_DL0,product_extras_spion_SGLS,1
extras_temp_GE0_spion_SK03_Supra_f1,temp_GE0,product_extras_spion_SK03_Supra_f1,1
extras_temp_GF0_spion_SK03_Supra_f1,temp_GF0,product_extras_spion_SK03_Supra_f1,1
extras_temp_GG0_spion_SK03S,temp_GG0,product_extras_spion_SK03S,1
extras_temp_GH0_spion_SK03S,temp_GH0,product_extras_spion_SK03S,1
extras_temp_GHA_spion_SK03S,temp_GHA,product_extras_spion_SK03S,1
extras_temp_GL0_spion_SKZRA,temp_GL0,product_extras_spion_SKZRA,1
extras_temp_GJ0_spion_SK25A,temp_GJ0,product_extras_spion_SK25A,1
extras_temp_GM0_spion_SK25A,temp_GM0,product_extras_spion_SK25A,1
extras_temp_GP0_spion_SK25A,temp_GP0,product_extras_spion_SK25A,1
extras_temp_GN0_spion_SK25A,temp_GN0,product_extras_spion_SK25A,1
extras_temp_GRA_spion_SK16G,temp_GRA,product_extras_spion_SK16G,1
extras_temp_DPA_spion_SCBR_150,temp_DPA,product_extras_spion_SCBR_150,1
extras_temp_GS0_spion_SK25A,temp_GS0,product_extras_spion_SK25A,1
extras_temp_GV0_spion_SK25A,temp_GV0,product_extras_spion_SK25A,1
extras_temp_GW0_spion_K61A,temp_GW0,product_extras_spion_K61A,1
extras_temp_GX0_spion_K61A,temp_GX0,product_extras_spion_K61A,1
extras_temp_GY0_spion_K61A,temp_GY0,product_extras_spion_K61A,1
extras_temp_GT0_spion_SK25A,temp_GT0,product_extras_spion_SK25A,1
extras_temp_GZA_spion_SKZRA,temp_GZA,product_extras_spion_SKZRA,1
extras_temp_HA0_spion_SKZRA,temp_HA0,product_extras_spion_SKZRA,1
extras_temp_HB0_spion_SKZRA,temp_HB0,product_extras_spion_SKZRA,1
