id,name,default_code,categ_id:id,description,type,lst_price,cost_method,valuation,taxes_id:id,supplier_taxes_id:id,uom_id,uom_po_id,sale_ok,purchase_ok,active
sparepart_02510000220,02510000220,LIQUID GASKET,wtc_product.categ_sparepart_lgs,02510-000-220,product,25000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1KEH000,061B1KEH000,GASKET KIT B,wtc_product.categ_sparepart_gst,HGP,product,33691,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1KFL000,061B1KFL000,GASKET KIT B,wtc_product.categ_sparepart_gst,HGP,product,57000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1KPH000,061B1KPH000,GASKET KIT B,wtc_product.categ_sparepart_ahm,GASKET KIT B,product,47000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_11341KEH900,11341KEH900,"COVER,L CRANK",wtc_product.categ_sparepart_ahm,"COVER,L CRANK",product,113700,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_14401KVB9010M1,14401KVB9010M1,"CAM,CHAIN",wtc_product.categ_sparepart_chain,HGP,product,55500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_2501738LU701STT,2501738LU701STT,"TIRE,RR",wtc_product.categ_sparepart_ahm,"TIRE,RR",product,61000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_45105KG2952,45105KG2952,PAD SET,wtc_product.categ_sparepart_brake,HGP,product,58000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_45105KG2953,45105KG2953,PAD SET,wtc_product.categ_sparepart_brake,HGP,product,27000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_52181001300,52181001300,PIVOT,wtc_product.categ_sparepart_rbr,HGP,product,28000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_53206KTL690,53206KTL690,COVER,wtc_product.categ_sparepart_plast,HGP,product,33000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_64370KPH700FMB,64370KPH700FMB,"COVER,R SIDE(BLK)",wtc_product.categ_sparepart_plast,"COVER,R SIDE(BLK)",product,41000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_6902,6902,6902,wtc_product.categ_sparepart_nonhgp-aspira,6902,product,15000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_6905,6905,6905,wtc_product.categ_sparepart_nonhgp-aspira,6905,product,20000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_77225KCJ700FMH,77225KCJ700FMH,"COWL, L RR SILVER",wtc_product.categ_sparepart_plast,HGP,product,67000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_83510KPH700FMB,83510KPH700FMB,"COVER,TAIL(BLK)",wtc_product.categ_sparepart_ahm,"COVER,TAIL(BLK)",product,29000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_83510KPH700FMX,83510KPH700FMX,"COVER,TAIL(F WHITE)",wtc_product.categ_sparepart_plast,"COVER,TAIL(F WHITE)",product,29000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_BB13260A,BB13260A,BEARING BALL,wtc_product.categ_sparepart_brng,HGP,product,25000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_H2900A2KN61100,H2900A2KN61100,TAPPET,wtc_product.categ_sparepart_impor,HGP,product,17500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_HC428104L,HC428104L,CHAIN,wtc_product.categ_sparepart_chain,HGP,product,66500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
