id,kategori_id:id,jasa,kpb_ke,oli
JBK1_A_4,JBK1_A,18000,4,
JBK1_A_3,JBK1_A,18000,3,
JBK1_A_2,JBK1_A,18000,2,
JBK1_A_1,JBK1_A,18000,1,25000
JBK2_A_4,JBK2_A,18000,4,
JBK2_A_3,JBK2_A,18000,3,
JBK2_A_2,JBK2_A,18000,2,
JBK2_A_1,JBK2_A,18000,1,250000
JBJ1_A_4,JBJ1_A,18000,4,
JBJ1_A_3,JBJ1_A,18000,3,
JBJ1_A_2,JBJ1_A,18000,2,
JBJ1_A_1,JBJ1_A,18000,1,250000
JBK3_A_4,JBK3_A,18000,4,
JBK3_A_3,JBK3_A,18000,3,
JBK3_A_2,JBK3_A,18000,2,
JBK3_A_1,JBK3_A,18000,1,250000
JBE3_A_4,JBE3_A,18000,4,
JBE3_A_3,JBE3_A,18000,3,
JBE3_A_2,JBE3_A,18000,2,
JBE3_A_1,JBE3_A,18000,1,250000
JBE2_A_4,JBE2_A,18000,4,
JBE2_A_3,JBE2_A,18000,3,
JBE2_A_2,JBE2_A,18000,2,
JBE2_A_1,JBE2_A,18000,1,250000
JBE1_A_4,JBE1_A,18000,4,
JBE1_A_3,JBE1_A,18000,3,
JBE1_A_2,JBE1_A,18000,2,
JBE1_A_1,JBE1_A,18000,1,250000
JBC3_A_4,JBC3_A,18000,4,
JBC3_A_3,JBC3_A,18000,3,
JBC3_A_2,JBC3_A,18000,2,
JBC3_A_1,JBC3_A,18000,1,250000
JBC2_A_4,JBC2_A,18000,4,
JBC2_A_3,JBC2_A,18000,3,
JBC2_A_2,JBC2_A,18000,2,
JBC2_A_1,JBC2_A,18000,1,250000
JBC1_A_4,JBC1_A,18000,4,
JBC1_A_3,JBC1_A,18000,3,
JBC1_A_2,JBC1_A,18000,2,
JBC1_A_1,JBC1_A,18000,1,250000
JBH1_A_4,JBH1_A,18000,4,
JBH1_A_3,JBH1_A,18000,3,
JBH1_A_2,JBH1_A,18000,2,
JBH1_A_1,JBH1_A,18000,1,250000
JBB1_A_4,JBB1_A,18000,4,
JBB1_A_3,JBB1_A,18000,3,
JBB1_A_2,JBB1_A,18000,2,
JBB1_A_1,JBB1_A,18000,1,250000
JBB2_A_4,JBB2_A,18000,4,
JBB2_A_3,JBB2_A,18000,3,
JBB2_A_2,JBB2_A,18000,2,
JBB2_A_1,JBB2_A,18000,1,250000
JBN1_B_4,JBN1_B,18000,4,
JBN1_B_3,JBN1_B,18000,3,
JBN1_B_2,JBN1_B,18000,2,
JBN1_B_1,JBN1_B,18000,1,23500
JBP1_B_4,JBP1_B,18000,4,
JBP1_B_3,JBP1_B,18000,3,
