id,name,description,service,km,hari
JF28_PCX,JF28,PCX,1,75,1100
JF28_PCX,JF28,PCX,2,135,4250
JF28_PCX,JF28,PCX,3,255,8250
JF28_PCX,JF28,PCX,4,375,12250
KC17_CBR 150,KC17,CBR 150,1,75,1100
KC17_CBR 150,KC17,CBR 150,2,135,4250
KC17_CBR 150,KC17,CBR 150,3,255,8250
KC17_CBR 150,KC17,CBR 150,4,375,12250
JBK1_Revo Fit FI,JBK1,Revo Fit FI,4,375,12250
JBK1_Revo Fit FI,JBK1,Revo Fit FI,3,255,8250
JBK1_Revo Fit FI,JBK1,Revo Fit FI,2,135,4250
JBK1_Revo Fit FI,JBK1,Revo Fit FI,1,75,1100
MC41_CBR 250,MC41,CBR 250,1,75,1100
MC41_CBR 250,MC41,CBR 250,2,195,6250
MC41_CBR 250,MC41,CBR 250,3,375,12250
MC41_CBR 250,MC41,CBR 250,4,555,18250
KF12_PCX 150,KF12,PCX 150,1,75,1100
KF12_PCX 150,KF12,PCX 150,2,135,4250
KF12_PCX 150,KF12,PCX 150,3,255,8250
KF12_PCX 150,KF12,PCX 150,4,375,12250
JFB1_VARIO TECHNO 125,JFB1,VARIO TECHNO 125,1,75,1100
JFB1_VARIO TECHNO 125,JFB1,VARIO TECHNO 125,2,135,4250
JFB1_VARIO TECHNO 125,JFB1,VARIO TECHNO 125,3,255,8250
JFB1_VARIO TECHNO 125,JFB1,VARIO TECHNO 125,4,375,12250
JFC1_VARIO TECHNO 125,JFC1,VARIO TECHNO 125,1,75,1100
JFC1_VARIO TECHNO 125,JFC1,VARIO TECHNO 125,2,135,4250
JFC1_VARIO TECHNO 125,JFC1,VARIO TECHNO 125,3,255,8250
JFC1_VARIO TECHNO 125,JFC1,VARIO TECHNO 125,4,375,12250
JB01_SUPRA X 125,JB01,SUPRA X 125,1,75,600
JB01_SUPRA X 125,JB01,SUPRA X 125,2,135,2250
JB01_SUPRA X 125,JB01,SUPRA X 125,3,195,4250
JB01_SUPRA X 125,JB01,SUPRA X 125,4,315,8250
JB81_SUPRA X 125,JB81,SUPRA X 125,1,75,600
JB81_SUPRA X 125,JB81,SUPRA X 125,2,135,2250
JB81_SUPRA X 125,JB81,SUPRA X 125,3,195,4250
JB81_SUPRA X 125,JB81,SUPRA X 125,4,315,8250
JB91_SUPRA X 125,JB91,SUPRA X 125,1,75,600
JB91_SUPRA X 125,JB91,SUPRA X 125,2,135,2250
JB91_SUPRA X 125,JB91,SUPRA X 125,3,195,4250
JB91_SUPRA X 125,JB91,SUPRA X 125,4,315,8250
JBA1_CS 1,JBA1,CS 1,1,75,600
JBA1_CS 1,JBA1,CS 1,2,135,2250
JBA1_CS 1,JBA1,CS 1,3,195,4250
JBA1_CS 1,JBA1,CS 1,4,315,8250
JBB1_BLADE,JBB1,BLADE,1,75,600
JBB1_BLADE,JBB1,BLADE,2,135,2250
JBB1_BLADE,JBB1,BLADE,3,195,4250
JBB1_BLADE,JBB1,BLADE,4,315,8250
JBB2_BLADE,JBB2,BLADE,1,75,600
JBB2_BLADE,JBB2,BLADE,2,135,2250
JBB2_BLADE,JBB2,BLADE,3,195,4250
JBB2_BLADE,JBB2,BLADE,4,315,8250
JBC1_REVO 110,JBC1,REVO 110,1,75,600
JBC1_REVO 110,JBC1,REVO 110,2,135,2250
JBC1_REVO 110,JBC1,REVO 110,3,195,4250
JBC1_REVO 110,JBC1,REVO 110,4,315,8250
JBC2_REVO 110,JBC2,REVO 110,1,75,600
JBC2_REVO 110,JBC2,REVO 110,2,135,2250
JBC2_REVO 110,JBC2,REVO 110,3,195,4250
JBC2_REVO 110,JBC2,REVO 110,4,315,8250
JBC3_REVO 110,JBC3,REVO 110,1,75,600
JBC3_REVO 110,JBC3,REVO 110,2,135,2250
JBC3_REVO 110,JBC3,REVO 110,3,195,4250
JBC3_REVO 110,JBC3,REVO 110,4,315,8250
JBD1_REVO AT,JBD1,REVO AT,1,75,600
JBD1_REVO AT,JBD1,REVO AT,2,135,2250
JBD1_REVO AT,JBD1,REVO AT,3,195,4250
JBD1_REVO AT,JBD1,REVO AT,4,315,8250
JBE1_REVO 110,JBE1,REVO 110,1,75,600
JBE1_REVO 110,JBE1,REVO 110,2,135,2250
JBE1_REVO 110,JBE1,REVO 110,3,195,4250
JBE1_REVO 110,JBE1,REVO 110,4,315,8250
JBE2_REVO 110,JBE2,REVO 110,1,75,600
JBE2_REVO 110,JBE2,REVO 110,2,135,2250
JBE2_REVO 110,JBE2,REVO 110,3,195,4250
JBE2_REVO 110,JBE2,REVO 110,4,315,8250
JBE3_REVO 110,JBE3,REVO 110,1,75,600
